iter	RMSE
0	0.08205678781
1	0.08186992843
2	0.08168543141
3	0.08154583414
4	0.0813673574
5	0.08124558415
6	0.08115202109
7	0.08099844692
8	0.08088288594
9	0.08080179518
10	0.08070855191
11	0.08060247771
12	0.08046722238
13	0.08034208231
14	0.08026729027
15	0.08013076451
16	0.08001229708
17	0.07990210345
18	0.0798096299
19	0.0796674615
20	0.07956424674
21	0.07945120245
22	0.07935584879
23	0.07926660379
24	0.07919190083
25	0.07910491721
26	0.07902156307
27	0.07893347751
28	0.0788359205
29	0.07876748344
30	0.07867284428
31	0.0786159235
32	0.07854362798
33	0.0784853904
34	0.07838008847
35	0.07829254048
36	0.07822247413
37	0.07813235686
38	0.07803662866
39	0.07798692724
40	0.07792633999
41	0.07784317529
42	0.0777451369
43	0.07765078298
44	0.07759593949
45	0.07752643692
46	0.07746133983
47	0.07736665251
48	0.07731499673
49	0.07727513711
50	0.07722836242
51	0.07715551865
52	0.07711298546
53	0.07703146848
54	0.07698018217
55	0.07690262693
56	0.07680087635
57	0.07677047339
58	0.07671215675
59	0.07665956139
60	0.07662312734
61	0.07657890867
62	0.07651236474
63	0.07645307972
64	0.07642430235
65	0.07639470387
66	0.07633126575
67	0.07627101635
68	0.07618489707
69	0.07615090119
70	0.07606499804
71	0.07597721977
72	0.07590784
73	0.07585644953
74	0.07579320924
75	0.07574811714
76	0.07567841471
77	0.0756237241
78	0.07556697461
79	0.07554453809
80	0.07549898244
81	0.07545481513
82	0.07539992671
83	0.07534470713
84	0.07528548313
85	0.07522479964
86	0.07515873784
87	0.07510119728
88	0.07504526074
89	0.0750034467
90	0.07495678914
91	0.07491011869
92	0.07485668075
93	0.07481007502
94	0.07477512406
95	0.0747179988
96	0.07466570842
97	0.07461532389
98	0.07455377423
99	0.07445300798
100	0.07443175783
101	0.07438562889
102	0.07432685158
103	0.07429013059
104	0.07422323921
105	0.07415904245
106	0.07411426909
107	0.07404795591
108	0.07398995132
109	0.07394961233
110	0.07390196681
111	0.07386660432
112	0.07382150333
113	0.07379003489
114	0.07372564212
115	0.07366324379
116	0.0736053745
117	0.073544719
118	0.07347839605
119	0.07341950483
120	0.07338592202
121	0.07334804042
122	0.07329665504
123	0.07325251475
124	0.07317943714
125	0.07316047032
126	0.07310093028
127	0.07304319568
128	0.07297127453
129	0.07289415993
130	0.07285518719
131	0.07282190104
132	0.07275325664
133	0.07270999385
134	0.07265071661
135	0.07260520572
136	0.07254888272
137	0.07248936459
138	0.07245818671
139	0.07242392227
140	0.0723418062
141	0.07229880393
142	0.07225785173
143	0.07221063205
144	0.07215741333
145	0.07211231954
146	0.07206123937
